No.,NAME,SUB DISTRICT,DISTRICT,STATE,LEVEL,2001CensusCODE,LAT.,LNG.
102,Joy Pur,Chariduar,Sonitpur,Assam,Village,1.81E+15,26.916367,92.685218
103,Joy Pur,Bijni,Bongaigaon,Assam,Village,1.80E+15,26.606564,90.549171
104,Ali Pur,Baghbor,Barpeta,Assam,Village,1.81E+15,26.29341,90.923702
105,Raj Pur,Phuloni,Karbi Anglong,Assam,Village,1.82E+15,26.071226,93.095085
106,Nur pur,Nathnagar,Bhagalpur,Bihar,Village,1.02E+15,25.228093,86.922256
107,Lam Pur,Narela,North West,Delhi,,7.01E+14,28.861257,77.064178
108,Lad Pur,Saraswati Vihar,North West,Delhi,,7.01E+14,28.740957,77.001205
109,Isa Pur,Najafgarh,South West,Delhi,,7.08E+14,28.575874,76.880867
110,Bal Pur,Nighasan,Kheri,Uttar Pradesh,,9.23E+14,28.610147,80.415584
111,Ray Pur,Nighasan,Kheri,Uttar Pradesh,,9.23E+14,28.384189,80.956977
112,Man Pur,Powayan,Shahjahanpur,Uttar Pradesh,,9.22E+14,28.159897,80.237728
113,Ram Pur,Tilhar,Shahjahanpur,Uttar Pradesh,,9.22E+14,28.052662,79.711334
114,Ram Pur,Tilhar,Shahjahanpur,Uttar Pradesh,,9.22E+14,27.986885,79.539985
115,Taj Pur,Amritpur,Farrukhabad,Uttar Pradesh,,9.29E+14,27.510478,79.619716
116,Ram Pur,Farrukhabad,Farrukhabad,Uttar Pradesh,,9.29E+14,27.369313,79.551074
117,Mir Pur,Ramnagar,Barabanki,Uttar Pradesh,,9.46E+14,27.129633,81.298404
118,Lad Pur,Safipur,Unnao,Uttar Pradesh,,9.26E+14,26.955625,80.13533
119,Rai Pur,Nawabganj,Barabanki,Uttar Pradesh,,9.46E+14,26.895411,81.285305
120,Man Pur,Nawabganj,Barabanki,Uttar Pradesh,,9.46E+14,26.856239,81.252445
121,Pal Pur,Rudauli,Faizabad,Uttar Pradesh,,9.47E+14,26.827298,81.691005
122,Lal Pur,Ramsanehighat,Barabanki,Uttar Pradesh,,9.46E+14,26.819256,81.437469
123,Rai Pur,Haidergarh,Barabanki,Uttar Pradesh,,9.46E+14,26.778808,81.400524
124,Ray Pur,Safipur,Unnao,Uttar Pradesh,,9.26E+14,26.73013,80.244266
125,Ram Pur,Safipur,Unnao,Uttar Pradesh,,9.26E+14,26.722943,80.261005
126,Ram Pur,Safipur,Unnao,Uttar Pradesh,,9.26E+14,26.712708,80.42155
127,Ala Pur,Haidergarh,Barabanki,Uttar Pradesh,,9.46E+14,26.659287,81.51588
128,Ray Pur,Safipur,Unnao,Uttar Pradesh,,9.26E+14,26.653806,80.351718
129,Ali Pur,Haidergarh,Barabanki,Uttar Pradesh,,9.46E+14,26.654202,81.424972
130,Ram Pur,Chauri Chaura,Gorakhpur,Uttar Pradesh,,9.58E+14,26.620607,83.56649
131,Ram Pur,Haidergarh,Barabanki,Uttar Pradesh,,9.46E+14,26.604902,81.518287
132,Gos Pur,Akbarpur,Ambedkar Nagar,Uttar Pradesh,,9.48E+14,26.457713,82.537475
133,Ain Pur,Sultanpur,Sultanpur,Uttar Pradesh,,9.49E+14,26.422395,82.090435
134,Lar Pur,Akbarpur,Ambedkar Nagar,Uttar Pradesh,,9.48E+14,26.387019,82.63208
135,Taj Pur,Akbarpur,Ambedkar Nagar,Uttar Pradesh,,9.48E+14,26.372782,82.490226
136,Ana Pur,Gauriganj,Sultanpur,Uttar Pradesh,,9.49E+14,26.228833,81.696987
137,Mir Pur,Madhuban,Mau,Uttar Pradesh,,9.62E+14,26.189446,83.614597
138,Ray Pur,Amethi,Sultanpur,Uttar Pradesh,,9.49E+14,26.157922,81.949287
139,Dam Pur,Mohammadabad,Ghazipur,Uttar Pradesh,,9.65E+14,25.705736,83.713779
140,Ram Pur,Mohammadabad,Ghazipur,Uttar Pradesh,,9.65E+14,25.691864,83.70288
141,Rai Pur,Mariahu,Jaunpur,Uttar Pradesh,,9.64E+14,25.566725,82.561801
142,Ala Pur,Lalitpur,Lalitpur,Uttar Pradesh,,9.37E+14,24.842754,78.440135
143,Raj Pur,Haveli,Punch,Jammu & Kashmir,Village,1.11E+14,33.765387,74.282207
144,Man Pur,Nowshehra,Rajauri,Jammu & Kashmir,Village,1.12E+14,33.064376,74.186679
145,Kol Pur,Samba,Jammu,Jammu & Kashmir,Village,1.13E+14,32.496974,74.99118
146,Aaj Pur,Bishna,Jammu,Jammu & Kashmir,Village,1.13E+14,32.457903,74.718215
147,Ram Pur,Hiranagar,Kathua,Jammu & Kashmir,Village,1.14E+14,32.354308,75.394207
148,Rai Pur,Potka,Purbi Singhbhum,Jharkhand,Village,2.02E+15,22.593582,86.197479
149,Kan pur,Patkura,Kendrapara,Orissa,Village,2.11E+15,20.433961,86.496265
150,Mir Pur,Fatehgarh Sahib,Fatehgarh Sahib,Punjab,Village,3.08E+14,30.563548,76.340236
151,Jot Pur,Pauri,Garhwal,Uttranchal,,5.06E+14,30.119993,78.618759
152,Lad Pur,Bareilly,Bareilly,Uttar Pradesh,Village,9.20E+14,28.483582,79.50122
153,Ass Pur,Dataganj,Budaun,Uttar Pradesh,Village,9.19E+14,28.107235,79.473545
154,Rup Pur,Budaun,Budaun,Uttar Pradesh,Village,9.19E+14,27.980695,79.267127
155,Med Pur,Patiyali,Etah,Uttar Pradesh,Village,9.17E+14,27.587658,79.135372
156,Mir Pur,Sadabad,Hathras,Uttar Pradesh,Village,9.13E+14,27.463107,77.980396
157,Ram Pur,Sadabad,Hathras,Uttar Pradesh,Village,9.13E+14,27.456002,78.14859
158,Bag Pur,Sadabad,Hathras,Uttar Pradesh,Village,9.13E+14,27.405103,78.116271
159,Jaj Pur,Tundla,Firozabad,Uttar Pradesh,Village,9.16E+14,27.228341,78.272678
160,Ram Pur,Tundla,Firozabad,Uttar Pradesh,Village,9.16E+14,27.181476,78.294456
161,Bho Pur,Kiraoli,Agra,Uttar Pradesh,Village,9.15E+14,27.063192,77.593841
162,Jay Pur,Keshiary,Medinipur,West Bengal,Village,1.92E+15,22.088795,87.171154
163,Kan Pur,Keshiary,Medinipur,West Bengal,Village,1.92E+15,22.052326,87.265697
164,Lal Pur,Dantan I,Medinipur,West Bengal,Village,1.92E+15,21.981169,87.231555
165,Lam Pur,Narela,North West,Delhi,Village,7.01E+14,28.858303,77.063628
166,Ali Pur,Narela,North West,Delhi,Town,7.01E+14,28.804086,77.13243
167,Lad Pur,Saraswati Vihar,North West,Delhi,Village,7.01E+14,28.746676,76.995255
168,Isa Pur,Najafgarh,South West,Delhi,Village,7.08E+14,28.580812,76.869507
